variable,,SS,MS,NumDF,DenomDF,F-stat,P-val,Sig
nps,group,1.803426067807675,0.6011420226025583,3,114.77941916527912,1.8742364273677286,0.13785964884132487,
nps,task,3.185199839985585,3.185199839985585,1,338.29591504313805,9.93079396230091,0.0017705439937964736,**
nps,gender,0.49728228778584793,0.49728228778584793,1,114.76175258463388,1.550423266731431,0.21560946190333988,
nps,group:task,11.208584375253356,3.7361947917511187,3,338.31067820546247,11.648682200131603,2.7768520464943076e-07,***
nps,group:gender,0.3666786824981256,0.12222622749937519,3,114.77941916344055,0.3810760840962198,0.7668241605016811,
nps,task:gender,0.4795032727549308,0.4795032727549308,1,338.29591504130786,1.494991977018228,0.2222946635694094,
nps,group:task:gender,1.8093726786587627,0.6031242262195876,3,338.31067822129285,1.8804165280524423,0.13260739541624172,
na,group,2.3723398344202042,0.7907799448067347,3,115.0986146793282,2.4283175430971267,0.06895774083538642,.
na,task,3.128780707080639,3.128780707080639,1,338.53924002384747,9.607822162668283,0.002099939332107015,**
na,gender,0.7037487803427709,0.7037487803427709,1,115.08302181853225,2.1610632900625917,0.14427540424096202,
na,group:task,4.579591321737093,1.526530440579031,3,338.5521896657919,4.687651315987543,0.0031919505704943074,**
na,group:gender,0.5000285003979945,0.1666761667993315,3,115.09861468578121,0.5118271682445334,0.6749219961096096,
na,task:gender,0.6920541997801575,0.6920541997801575,1,338.53924001190273,2.1251517127320647,0.1458254427284617,
na,group:task:gender,1.4309357790970942,0.4769785930323648,3,338.552189658012,1.46470012643701,0.22397117013453086,
siips,group,0.6484698899963135,0.21615662999877117,3,114.90721502771515,0.8969444480898702,0.4451231605232334,
siips,task,0.14865892148929477,0.14865892148929477,1,338.2020421593503,0.6168619222533626,0.432765674015811,
siips,gender,0.626118542531563,0.626118542531563,1,114.89659783426464,2.5980861682243996,0.10973648723323222,
siips,group:task,3.7084304880426107,1.2361434960142035,3,338.21082777175,5.129391801670138,0.0017573739910171872,**
siips,group:gender,0.49059570652053763,0.16353190217351254,3,114.90721503508612,0.678577528438252,0.5668946894851612,
siips,task:gender,0.2723461596503903,0.2723461596503903,1,338.2020421528936,1.130103554345771,0.28851170953045197,
siips,group:task:gender,0.3018620793115547,0.10062069310385156,3,338.21082776204486,0.41752673532598755,0.7405347328255396,
