variable,,Contrast,group,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,P-fdr,Sig
int,1,postManip49C - preManip49C,c,0.675,0.309,1.042,0.186,639.585,3.621,0.0,0.0,***
int,4,postManip49C - preManip49C,l,-0.529,-1.056,-0.002,0.268,639.71,-1.973,0.049,0.06533333333333334,
int,7,postManip49C - preManip49C,s,-0.351,-0.864,0.162,0.261,639.716,-1.342,0.18,0.18,
int,10,postManip49C - preManip49C,m,-1.494,-1.875,-1.113,0.194,640.02,-7.706,0.0,0.0,***
unp,1,postManip49C - preManip49C,c,0.733,0.322,1.145,0.209,639.522,3.5,0.0,0.0,***
unp,4,postManip49C - preManip49C,l,-0.608,-1.198,-0.018,0.3,639.278,-2.025,0.043,0.043,*
unp,7,postManip49C - preManip49C,s,-1.081,-1.655,-0.507,0.292,639.284,-3.698,0.0,0.0,***
unp,10,postManip49C - preManip49C,m,-1.932,-2.358,-1.506,0.217,639.636,-8.906,0.0,0.0,***
